0,467,919
1,1787,566
2,330,553
3,1109,862
4,772,934
5,255,948
6,1714,1017
7,1126,737
8,482,929
9,1872,1280
10,1694,902
11,1023,624
12,499,1062
13,1032,844
14,1803,1055
15,1377,361
16,1861,1054
17,1506,1099
18,1062,328
19,1752,976
20,1339,1220
21,1830,748
22,1707,468
23,1776,768
24,593,994
25,1931,446
26,594,740
27,258,505
28,1509,486
29,849,521
30,1088,1097
31,1832,1270
32,1361,599
33,917,307
34,1143,565
35,1397,313
36,246,1200
37,1970,486
38,1203,410
39,1460,711
40,1610,644
41,1793,362
42,1972,370
43,952,891
44,1309,476
45,1955,1050
46,1964,338
47,1624,968
48,743,347
49,1208,446
50,537,469
51,808,889
52,1024,838
53,582,1286
54,1458,1237
55,665,1045
56,1694,569
57,221,1292
58,1255,315
59,466,1034
60,1031,954
61,1378,1016
62,578,1021
63,1389,975
64,363,835
65,276,1292
66,601,563
67,1618,1007
68,1088,1027
69,1574,1221
70,657,484
71,1938,1096
72,1671,1027
73,106,1174
74,433,416
75,1931,944
76,1568,1021
77,454,689
78,1588,1151
79,507,659
80,842,1187
81,1187,1101
82,1724,457
83,1220,1095
84,1293,1242
85,1194,413
86,1069,557
87,1041,830
88,1777,1018
89,1045,573
90,1821,814
91,736,1258
92,694,706
93,1500,469
94,907,541
95,1246,963
96,695,351
97,1287,588
98,881,850
99,1905,774
100,1196,760
101,358,1215
102,1729,1014
103,1486,790
104,695,639
105,1057,927
106,1722,1104
107,1243,343
108,1660,493
109,709,397
110,351,1159
111,266,1294
112,166,737
113,245,401
114,702,660
115,741,323
116,317,931
117,205,996
118,1795,896
119,1843,306
120,1848,945
121,1276,858
122,1204,802
123,1084,929
124,444,938
125,1224,442
126,1501,625
127,1837,858
128,209,1064
129,1138,1060
130,1334,990
131,1839,1124
132,1255,821
133,976,426
134,983,525
135,188,987
136,836,1194
137,1992,938
138,1383,802
139,861,949
140,1374,720
141,1385,944
142,851,336
143,1124,472
144,1657,988
145,1441,710
146,725,982
147,1051,1007
148,1804,333
149,1023,1065
150,163,691
151,748,1072
152,957,551
153,1152,903
154,1697,526
155,898,530
156,1733,994
157,147,1153
158,871,1149
159,1742,1153
160,1074,668
161,1527,768
162,775,659
163,322,308
164,978,1262
165,977,1020
166,491,807
167,454,519
168,1775,406
169,1479,1214
170,856,1002
171,1332,936
172,1134,1164
173,1640,777
174,1967,361
175,937,307
176,995,1077
177,405,1234
178,1116,834
179,603,471
180,1251,590
181,701,1245
182,1477,730
183,1794,637
184,727,743
185,1380,707
186,399,1191
187,1774,862
188,1579,1003
189,1557,943
190,1876,818
191,930,723
192,1427,941
193,293,1181
194,1854,1052
195,816,669
196,1025,376
197,723,383
198,1445,1194
199,858,1238
200,408,1189
201,585,800
202,799,1120
203,801,1038
204,1664,363
205,799,784
206,1195,1015
207,1140,1141
208,384,1150
209,1439,439
210,334,739
211,1514,318
212,1732,446
213,623,441
214,1284,1170
215,1109,581
216,662,694
217,1096,352
218,242,991
219,272,496
220,1045,989
221,388,1145
222,1331,386
223,1079,417
224,1899,819
225,518,948
226,1239,1132
227,1188,450
228,1273,1250
229,1026,340
230,1952,1020
231,458,594
232,1854,720
233,639,1163
234,1352,346
235,517,1053
236,1114,1038
237,937,957
238,701,434
239,645,1163
240,1751,827
241,1564,302
242,812,918
243,1356,416
244,1700,839
245,1125,1278
246,1055,446
247,1758,1253
248,224,345
249,130,830
250,272,1217
251,572,397
252,1575,710
253,902,714
254,546,316
255,432,1169
256,1051,965
257,321,860
258,1784,417
259,764,854
260,882,349
261,1756,826
262,1978,1143
263,1070,994
264,1724,523
265,301,1131
266,1981,1205
267,137,387
268,1366,448
269,154,570
270,1593,894
271,1803,698
272,1427,1189
273,1640,462
274,1437,611
275,609,1220
276,370,424
277,572,1182
278,1613,504
279,315,431
280,1457,403
281,1124,1113
282,694,1147
283,232,672
284,1221,828
285,1490,348
286,1888,1183
287,1040,1192
288,772,862
289,344,1158
290,776,812
291,1867,684
292,105,868
293,611,446
294,280,1148
295,428,932
296,848,881
297,1632,792
298,505,1256
299,844,1037
300,317,400
301,237,1138
302,1455,861
303,500,901
304,104,1135
305,1070,560
306,1245,815
307,1928,590
308,639,1188
309,1984,1238
310,1533,634
311,625,1232
312,1386,885
313,1686,670
314,918,1244
315,827,473
316,928,454
317,1501,850
318,234,1198
319,1328,1164
320,1074,1247
321,747,1118
322,458,593
323,1248,880
324,1782,391
325,1339,1216
326,1149,1136
327,1756,1168
328,1357,411
329,305,750
330,1667,678
331,1135,581
332,384,649
333,1810,496
334,934,1194
335,802,485
336,1124,869
337,1979,697
338,1187,1107
339,1353,629
340,1689,917
341,1565,700
342,1345,796
343,1905,328
344,1585,957
345,1526,908
346,674,1003
347,297,324
348,1425,874
349,247,1160
350,1691,781
351,444,603
352,1448,350
353,181,331
354,595,302
355,1193,873
356,397,524
357,976,750
358,422,453
359,1898,392
360,727,985
361,569,526
362,1274,732
363,369,603
364,691,734
365,686,474
366,201,700
367,1476,772
368,928,1025
369,350,924
370,467,430
371,880,503
372,1158,359
373,353,500
374,1522,970
375,1078,480
376,558,543
377,165,556
378,970,482
379,1250,1234
380,484,1207
381,1365,542
382,1511,1259
383,806,316
384,1373,855
385,1051,406
386,378,1196
387,1279,598
388,1660,1283
389,1652,480
390,1167,1294
391,930,470
392,1947,1230
393,112,1227
394,748,1099
395,1351,1130
396,1658,947
397,207,855
398,843,635
399,1328,506
400,1275,1114
401,727,721
402,1757,618
403,129,451
404,1585,723
405,274,842
406,630,646
407,1479,938
408,443,1195
409,134,578
410,187,424
411,1881,1035
412,1940,882
413,239,1024
414,1617,1089
415,797,590
416,203,430
417,456,1136
418,1763,618
419,553,1045
420,154,934
421,187,1029
422,1504,437
423,1273,938
424,244,579
425,1145,440
426,680,445
427,723,667
428,716,865
429,797,1284
430,705,531
431,1598,948
432,291,404
433,191,376
434,211,585
435,1991,871
436,366,1265
437,1497,1250
438,147,930
439,630,518
440,863,588
441,1573,573
442,495,587
443,1188,440
444,1541,498
445,1434,705
446,1197,843
447,1886,1288
448,554,317
449,1295,816
450,1244,1058
451,1007,379
452,1914,1054
453,508,810
454,891,1281
455,971,535
456,1710,442
457,1867,1067
458,862,1126
459,606,343
460,104,959
461,330,609
462,1486,908
463,297,454
464,1683,1089
465,1952,401
466,469,679
467,1992,781
468,313,315
469,1753,1093
470,979,1061
471,1543,416
472,1054,831
473,326,613
474,1176,523
475,1522,1103
476,1247,458
477,1547,1292
478,1999,429
479,461,556
480,1066,1141
481,873,1257
482,1431,1292
483,742,711
484,181,1149
485,646,514
486,1014,490
487,1107,737
488,646,984
489,1406,1129
490,1423,1131
491,629,1011
492,1928,357
493,573,1257
494,314,573
495,354,677
496,212,1224
497,1181,997
498,1774,363
499,1334,683
500,596,1133
501,1653,1185
502,1938,608
503,1093,691
504,561,793
505,1921,1168
506,340,571
507,815,864
508,1145,984
509,1606,375
510,360,1040
511,1074,485
512,988,962
513,984,954
514,960,358
515,618,536
516,153,562
517,1031,1279
518,1967,713
519,405,711
520,1685,539
521,402,532
522,1883,1052
523,1379,1205
524,442,1059
525,632,988
526,809,837
527,805,1167
528,657,743
529,1957,317
530,1254,820
531,1353,915
532,1233,887
533,194,635
534,1210,1099
535,852,1085
536,782,731
537,1364,452
538,231,765
539,859,1151
540,782,449
541,1168,940
542,494,835
543,861,990
544,433,325
545,1779,1115
546,1705,868
547,1545,922
548,481,996
549,1792,1171
550,151,1008
551,311,801
552,1264,564
553,982,1034
554,1888,398
555,566,940
556,1578,580
557,411,745
558,1459,1061
559,419,1238
560,517,376
561,217,891
562,1409,918
563,934,1247
564,970,327
565,460,1240
566,1149,478
567,1045,1268
568,1376,1004
569,733,841
570,726,1199
571,1971,1160
572,529,1266
573,621,1144
574,281,1143
575,294,1137
576,1459,683
577,1356,333
578,920,1267
579,1746,430
580,272,1158
581,1054,872
582,876,925
583,1541,717
584,812,726
585,290,552
586,1092,1003
587,1099,1110
588,1164,1106
589,840,675
590,1759,331
591,1501,511
592,1371,929
593,313,469
594,587,1280
595,467,736
596,524,448
597,1277,345
598,801,643
599,946,316
600,1701,625
601,807,486
602,1714,358
603,1278,487
604,1765,775
605,1442,397
606,537,668
607,980,1208
608,806,594
609,159,986
610,1923,499
611,1099,455
612,1657,896
613,134,778
614,1763,660
615,1052,909
616,1286,336
617,1308,1178
618,1507,665
619,395,1208
620,1355,1135
621,1542,344
622,1426,1227
623,437,422
624,1064,565
625,138,560
626,1343,634
627,1594,458
628,1384,801
629,529,471
630,1613,605
631,1375,1045
632,1699,501
633,889,376
634,1632,1184
635,1055,1144
636,1752,316
637,172,752
638,661,554
639,1303,1071
640,516,776
641,1351,1264
642,220,1167
643,1216,1096
644,766,574
645,1791,664
646,1635,1238
647,303,986
648,1601,1196
649,1586,856
650,1527,1277
651,746,1173
652,1695,328
653,404,1024
654,1240,935
655,344,1280
656,1969,832
657,781,711
658,177,364
659,1340,903
660,1157,1101
661,793,1083
662,1293,314
663,839,399
664,1571,506
665,1739,727
666,1193,628
667,312,305
668,255,647
669,636,1229
670,1363,1206
671,1766,1087
672,1443,611
673,963,898
674,887,309
675,524,1041
676,1239,1038
677,413,1074
678,494,648
679,879,634
680,900,839
681,1106,1065
682,215,538
683,885,383
684,1031,476
685,1442,924
686,775,605
687,1591,358
688,1723,406
689,1204,861
690,1256,614
691,474,324
692,993,1181
693,1046,684
694,861,642
695,1280,1122
696,1879,1019
697,321,1255
698,1006,516
699,1517,496
700,1625,797
701,696,1222
702,882,407
703,1117,804
704,441,300
705,1280,352
706,142,634
707,1450,1006
708,141,645
709,237,772
710,885,1266
711,617,1274
712,1849,509
713,678,560
714,1366,521
715,1762,391
716,936,305
717,546,1287
718,968,935
719,723,425
720,786,549
721,438,1033
722,637,1008
723,1726,1053
724,1162,1258
725,661,938
726,687,1248
727,1125,417
728,1175,665
729,129,1268
730,457,873
731,1135,1297
732,179,1178
733,277,1160
734,1821,675
735,512,486
736,400,592
737,1490,947
738,1389,1051
739,408,860
740,723,392
741,182,1201
742,1600,1030
743,626,901
744,1063,1198
745,1619,1108
746,1227,822
747,879,1190
748,1590,680
749,420,422
750,799,605
751,1081,1285
752,1163,784
753,1536,367
754,1303,876
755,933,685
756,1858,820
757,972,812
758,1057,932
759,558,955
760,1018,1204
761,173,591
762,1271,1151
763,1422,1107
764,1023,527
765,1516,327
766,1822,747
767,1145,558
768,112,861
769,1255,1269
770,1804,818
771,262,1101
772,932,802
773,1387,885
774,1333,876
775,853,1230
776,865,921
777,1011,771
778,1145,873
779,1462,404
780,1467,532
781,870,965
782,298,479
783,1099,1191
784,1191,1053
785,1949,957
786,1749,636
787,1152,531
788,984,420
789,880,1151
790,1524,1053
791,605,581
792,317,1214
793,1249,926
794,959,716
795,279,719
796,419,1210
797,1678,1219
798,715,632
799,849,392
800,994,1225
801,1738,1185
802,1798,375
803,335,1256
804,160,924
805,1075,827
806,1172,307
807,1874,773
808,1326,427
809,1914,1231
810,1075,1131
811,1194,506
812,221,337
813,803,847
814,213,1155
815,1124,819
816,1920,820
817,1850,670
818,1016,677
819,176,810
820,857,597
821,1843,1288
822,1269,702
823,1417,341
824,210,772
825,1388,1057
826,106,402
827,1948,751
828,1536,1281
829,1763,786
830,1374,303
831,363,717
832,476,1082
833,1960,545
834,1427,739
835,1378,841
836,323,951
837,1366,1023
838,241,854
839,381,653
840,1593,657
841,792,743
842,1534,433
843,1629,984
844,283,329
845,1168,444
846,891,592
847,629,705
848,1422,1215
849,1553,1178
850,1239,474
851,1686,647
852,1760,537
853,1188,1013
854,1438,913
855,934,982
856,970,940
857,1756,511
858,539,1274
859,641,584
860,177,838
861,1840,444
862,1516,781
863,1811,1189
864,1431,1133
865,1412,1205
866,1812,838
867,586,840
868,1851,1081
869,1876,819
870,1560,670
871,1821,680
872,1314,331
873,1187,1263
874,1784,1029
875,308,934
876,1959,433
877,783,638
878,1994,592
879,708,398
880,1747,441
881,765,842
882,463,950
883,756,1078
884,280,512
885,1574,1149
886,1706,1111
887,177,1127
888,212,798
889,450,439
890,1978,600
891,1241,668
892,877,529
893,1339,608
894,866,784
895,333,676
896,1695,538
897,883,1222
898,590,811
899,335,733
900,126,918
901,951,1224
902,1689,1161
903,1447,813
904,1742,755
905,633,564
906,1062,663
907,841,883
908,1645,374
909,787,430
910,142,675
911,1237,827
912,178,436
913,201,1287
914,560,862
915,1498,691
916,1958,990
917,482,638
918,1478,1099
919,426,678
920,1415,927
921,870,554
922,1970,447
923,1164,410
924,1827,732
925,1629,742
926,1442,302
927,961,879
928,442,1156
929,1380,562
930,1842,957
931,1849,996
932,652,1278
933,905,1244
934,2000,612
935,655,393
936,719,501
937,1672,837
938,1083,949
939,1960,665
940,895,1249
941,1988,565
942,527,879
943,354,1066
944,1042,477
945,951,971
946,570,789
947,1889,470
948,1144,1163
949,659,385
950,462,514
951,134,994
952,524,883
953,1519,483
954,1408,1063
955,423,1180
956,1107,1096
957,1163,438
958,431,1058
959,949,378
960,1201,1106
961,1524,803
962,1730,911
963,400,914
964,1364,579
965,1791,540
966,257,1108
967,613,429
968,237,525
969,1449,902
970,753,478
971,1018,402
972,1834,736
973,518,687
974,763,1231
975,1478,667
976,753,471
977,558,879
978,156,721
979,361,562
980,654,401
981,1454,1033
982,183,435
983,491,1076
984,1065,400
985,1345,506
986,1303,1172
987,1507,899
988,140,359
989,581,552
990,910,318
991,279,870
992,1163,1053
993,560,758
994,106,1192
995,1776,950
996,407,685
997,188,1013
998,465,507
999,1001,832
